date,BOAB,BOABF,BOAC,CBIBF,CIEC,ECOC,NEIC,NTLC,ORAC,PALC,SGBC,SNTS,SOGC,SPHC,TTLC
2025-09-29,25308,1997,6276,372,4911,1780,1162,196,631,1061,1571,2644,8889,1624,2897
2025-09-30,4047,1185,2784,470,2632,1675,1608,890,843,4651,734,2007,10972,2897,2829
2025-10-01,998,1226,10659,452,1386,2085,693,80,468,959,338,1336,1360,1510,2842
2025-10-02,6156,2925,1637,1259,4079,982,1936,808,1174,2383,4729,3480,1106,6097,1134
2025-10-03,2046,1317,6116,472,1392,724,207,530,663,24719,1611,1664,2411,2138,6717
2025-10-06,3540,10827,2909,1027,2113,6164,1588,420,1703,5897,246,11435,17957,27892,21653
2025-10-07,1244,1981,4330,3627,2151,963,1160,2182,1208,2629,4135,7572,6918,23728,14054
2025-10-08,820,3199,1432,1229,4332,340,702,172,896,2674,229,50564,2177,15642,1333
2025-10-09,4864,1668,5800,295,2038,1186,763,1173,7087,2312,788,8529,2013,4970,4326
2025-10-10,2028,3071,3681,188,4241,750,1125,513,404,2890,301,2900,1779,8368,2000
2025-10-13,4418,1640,2916,449,1650,569,6200,796,834,4059,573,14821,2110,6229,4403
2025-10-14,7679,7058,9329,1154,40119,963,430,457,1862,3105,805,3978,4401,13600,119261
2025-10-15,3731,1209,5443,250,7432,8838,3393,530,1839,5829,2249,23708,6999,10666,52095
2025-10-16,6150,2260,5419,296,5010,2487,2584,1080,1352,4838,720,8209,430,10704,26355
2025-10-17,986,1484,14000,225,3532,846,1843,1403,1011,36238,1215,3184,3613,2145,17624
2025-10-20,4112,1725,9220,1769,4250,2279,1210,1132,11495,9016,1514,5742,1479,3681,15882
2025-10-21,1759,11968,9912,158,2288,1601,447,729,2497,7026,204,21759,5815,2401,11077
2025-10-22,4315,1426,10072,473,3163,503,293,1044,1382,6344,1937,7950,2481,4552,5129
2025-10-23,2060,3183,3217,120,2599,335,1009,568,7728,11000,545,8588,2881,5886,8715
2025-10-24,2538,5906,12281,396,3129,11986,756,251,1563,4715,3875,5885,4020,2149,2846
2025-10-27,2742,16356,13670,1079,1381,887,4875,1749,1944,10841,1604,4052,2618,2241,5468
2025-10-28,1402,4079,3066,7376,4111,201,14983,1355,8554,12833,835,7909,3427,1437,11083
2025-10-29,3955,1197,4169,1157,11512,2202,15504,810,1933,25658,963,10883,9979,13680,8067
2025-10-30,5707,3498,5017,702,949,1337,3623,549,3065,27719,1686,2502,11601,3498,7440
2025-10-31,1282,8833,5180,1435,4395,687,20917,448,852,9605,561,2923,25599,35414,8270
2025-11-03,1624,12440,9141,215,6790,1743,13787,1197,886,1986,446,33115,10067,2424,4924
2025-11-04,4300,2171,7056,1294,4271,3543,10482,522,3227,4838,1272,43257,17776,9208,11627
2025-11-05,1641,3721,8748,1030,2850,2508,6079,858,2778,9967,945,2579,15717,6766,4344
2025-11-06,2272,12129,16213,362,1871,3619,7594,1108,2229,10540,667,2598,4741,1988,6366
2025-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-10,3367,2502,7783,616,3446,1141,2007,3373,27465,4299,9196,7040,2187,3549,2947
2025-11-11,890,5567,3219,931,2190,1046,5946,2095,10235,4067,1508,54748,1042,924,11542
2025-11-12,6340,4188,6166,277,2371,2552,2233,1096,503,4951,20944,10311,2013,3040,7828
2025-11-13,1207,5813,1642,139,4647,3281,2323,433,995,12856,731,2779,15043,1462,2293
2025-11-14,8452,5841,1994,427,2934,1099,441,2103,838,2241,1370,21842,758,817,1191
2025-11-17,2017,5923,1560,378,1689,326,2589,1910,540,8871,622,3322,618,1385,2759
2025-11-18,2812,3054,10599,2624,1576,543,1510,1883,3652,4767,2952,10562,303,1309,374
2025-11-19,3065,1873,220662,5236,996,1840,1839,153,20702,1415,20012,29111,541,2005,2526
2025-11-20,6249,2040,5372,296,1323,793,467,1108,1639,1537,6468,2061,5287,3487,4740
2025-11-21,9599,2844,2582,487,3473,1181,545,324,2309,2941,7096,2246,1498,2360,2603
2025-11-24,4717,1687,1762,412,891,2751,1408,223,1157,4238,664,13475,765,7639,9356
2025-11-25,3628,2220,5960,242,18195,7433,2512,655,218,5305,5289,11633,1125,3547,1999
2025-11-26,4172,3711,5343,583,1600,1623,1180,15549,5295,1758,22702,21639,3366,3004,2125
2025-11-27,174,299,1449,165,1743,1266,964,524,539,2144,1993,647,1272,504,1043
